Date,Close/Last,Volume,Open,High,Low
01/22/2025,$61.78,18191890,$62.12,$62.285,$61.66
01/21/2025,$62.42,19817070,$62.90,$63.23,$62.30
01/17/2025,$62.71,17948870,$62.31,$62.765,$62.17
01/16/2025,$62.25,12585530,$61.42,$62.30,$61.32
01/15/2025,$61.77,16187200,$62.33,$62.62,$61.68
01/14/2025,$62.04,16658290,$61.655,$62.065,$61.30
01/13/2025,$61.65,18016170,$61.13,$61.845,$60.71
01/10/2025,$61.07,22424950,$61.58,$61.65,$60.73
01/08/2025,$61.71,14412400,$60.99,$61.77,$60.93
01/07/2025,$60.84,17799630,$61.11,$61.7175,$60.615
01/06/2025,$60.81,17924240,$61.50,$61.565,$60.66
01/03/2025,$61.75,10403200,$61.90,$62.075,$61.62
01/02/2025,$61.84,12990980,$62.35,$62.75,$61.62
12/31/2024,$62.26,9256664,$62.02,$62.43,$61.80
12/30/2024,$62.03,8972212,$62.34,$62.34,$61.68
12/27/2024,$62.45,8542773,$62.45,$62.95,$62.209
12/26/2024,$62.57,7945641,$62.62,$62.74,$62.40
12/24/2024,$62.84,5019131,$62.20,$62.84,$62.01
12/23/2024,$62.38,13010760,$62.50,$62.76,$61.5318
12/20/2024,$62.55,42458100,$62.47,$63.06,$62.28
12/19/2024,$62.45,21300650,$62.70,$63.17,$62.40
12/18/2024,$62.85,20946090,$62.81,$63.64,$62.79
12/17/2024,$63.40,21902380,$62.45,$63.55,$62.32
12/16/2024,$62.55,24559740,$63.23,$63.86,$62.35
12/13/2024,$63.12,13429030,$63.57,$63.835,$63.11
12/12/2024,$63.84,17542090,$63.55,$63.92,$63.22
12/11/2024,$62.64,32819010,$63.00,$63.63,$62.40
12/10/2024,$62.91,14949420,$62.70,$63.04,$61.79
12/09/2024,$62.60,22348330,$62.69,$62.929,$61.90
12/06/2024,$62.53,15581150,$62.83,$63.36,$62.51
12/05/2024,$62.92,21040360,$62.47,$63.12,$62.10
12/04/2024,$62.21,28137660,$63.275,$63.35,$61.90
12/03/2024,$63.52,24874490,$63.72,$64.08,$63.025
12/02/2024,$63.65,16500100,$64.05,$64.19,$63.345
11/29/2024,$64.08,10648350,$64.02,$64.25,$63.77
11/27/2024,$64.43,13263400,$64.96,$65.10,$64.25
11/26/2024,$64.55,14473270,$64.31,$64.64,$64.06
11/25/2024,$64.38,36805250,$64.32,$64.71,$63.84
11/22/2024,$63.92,19562230,$64.24,$64.48,$63.65
11/21/2024,$63.76,17292300,$63.15,$63.81,$62.95
11/20/2024,$62.99,18904910,$62.70,$63.01,$62.02
11/19/2024,$62.59,16254830,$61.90,$62.62,$61.63
11/18/2024,$61.86,16079360,$61.85,$62.14,$61.56
11/15/2024,$61.74,26284330,$62.49,$62.63,$61.39
11/14/2024,$62.55,15910820,$63.11,$63.11,$62.43
11/13/2024,$63.00,13177640,$63.05,$63.26,$62.49
11/12/2024,$63.20,15020980,$63.68,$63.75,$63.12
11/11/2024,$63.36,13980870,$63.99,$64.12,$63.2509
11/08/2024,$63.92,14719310,$63.91,$64.24,$63.74
11/07/2024,$63.66,14856050,$64.29,$64.39,$63.60
11/06/2024,$63.70,22899260,$64.42,$64.86,$63.18
11/05/2024,$65.37,8780220,$64.64,$65.4698,$64.64
11/04/2024,$65.11,10984500,$65.08,$65.42,$64.6507
11/01/2024,$65.01,12163090,$65.47,$65.66,$64.89
10/31/2024,$65.31,13383720,$65.81,$65.99,$65.255
10/30/2024,$65.92,14177770,$65.51,$66.535,$65.32
10/29/2024,$65.56,16525920,$66.29,$66.34,$65.52
10/28/2024,$66.67,10761420,$66.96,$67.395,$66.60
10/25/2024,$66.92,11138130,$67.07,$67.70,$66.79
10/24/2024,$67.30,17568830,$67.65,$68.04,$66.952
10/23/2024,$68.01,24655200,$66.99,$68.70,$66.58
10/22/2024,$69.45,18603250,$69.00,$69.745,$68.68
10/21/2024,$69.45,11981160,$70.00,$70.325,$69.305
